Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
Representative in Congress - District 6,James David Stockton III,DEM,3320,169,118,112,399,29.98
Representative in Congress - District 6,Write-in,,0040,-,-,-,3,0.12
Representative in Congress - District 6,Write-in,,1000,0,0,0,0,0.00
Representative in Congress - District 6,Write-in,,1010,0,0,0,0,0.00
Representative in Congress - District 6,Write-in,,1020,-,-,-,3,0.26
Representative in Congress - District 6,Write-in,,1021,0,0,0,0,0.00
Representative in Congress - District 6,Write-in,,1030,-,-,-,3,0.19
Representative in Congress - District 6,Write-in,,1040,-,-,-,2,0.12
Representative in Congress - District 6,Write-in,,1050,-,-,-,4,0.18
Representative in Congress - District 6,Write-in,,1060,-,-,-,1,0.07
Representative in Congress - District 6,Write-in,,1070,-,-,-,2,0.15
Representative in Congress - District 6,Write-in,,1080,-,-,-,3,0.16
Representative in Congress - District 6,Write-in,,1090,-,-,-,3,0.14
Representative in Congress - District 6,Write-in,,1100,-,-,-,7,0.37
Representative in Congress - District 6,Write-in,,1110,-,-,-,2,0.08
Representative in Congress - District 6,Write-in,,3000,0,0,0,0,0.00
Representative in Congress - District 6,Write-in,,3010,-,-,-,3,0.18
Representative in Congress - District 6,Write-in,,3020,-,-,-,6,0.17
Representative in Congress - District 6,Write-in,,3030,-,-,-,1,0.03
Representative in Congress - District 6,Write-in,,3040,-,-,-,1,0.06
Representative in Congress - District 6,Write-in,,3050,-,-,-,3,0.05
Representative in Congress - District 6,Write-in,,3060,-,-,-,2,0.07
Representative in Congress - District 6,Write-in,,3070,-,-,-,4,0.18
Representative in Congress - District 6,Write-in,,3080,-,-,-,4,0.27
Representative in Congress - District 6,Write-in,,3090,-,-,-,3,0.16
Representative in Congress - District 6,Write-in,,3110,-,-,-,4,0.16
Representative in Congress - District 6,Write-in,,3120,-,-,-,2,0.16
Representative in Congress - District 6,Write-in,,3130,-,-,-,7,0.25
Representative in Congress - District 6,Write-in,,3140,-,-,-,1,0.07
Representative in Congress - District 6,Write-in,,3150,0,0,0,0,0.00
Representative in Congress - District 6,Write-in,,3170,-,-,-,1,0.13
Representative in Congress - District 6,Write-in,,3180,-,-,-,4,0.30
Representative in Congress - District 6,Write-in,,3190,-,-,-,5,0.40
Representative in Congress - District 6,Write-in,,3200,-,-,-,2,0.12
Representative in Congress - District 6,Write-in,,3210,-,-,-,5,0.34
Representative in Congress - District 6,Write-in,,3220,-,-,-,3,0.13
Representative in Congress - District 6,Write-in,,3230,-,-,-,3,0.20
Representative in Congress - District 6,Write-in,,3240,-,-,-,4,0.09
Representative in Congress - District 6,Write-in,,3250,-,-,-,5,0.19
Representative in Congress - District 6,Write-in,,3260,-,-,-,3,0.14
Representative in Congress - District 6,Write-in,,3270,-,-,-,9,0.22
Representative in Congress - District 6,Write-in,,3280,-,-,-,1,0.08
Representative in Congress - District 6,Write-in,,3290,-,-,-,4,0.12
Representative in Congress - District 6,Write-in,,3300,-,-,-,5,0.17
Representative in Congress - District 6,Write-in,,3310,-,-,-,3,0.19
Representative in Congress - District 6,Write-in,,3320,0,0,0,0,0.00
