Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"Representative in Congress, District 6",James David Stockton III,DEM,17,0,168,219,202,589,30.66
"Representative in Congress, District 6",James David Stockton III,DEM,18,0,35,90,44,169,29.04
"Representative in Congress, District 6",James David Stockton III,DEM,19,-,-,-,-,18,23.38
"Representative in Congress, District 6",James David Stockton III,DEM,02,0,73,127,94,294,33.75
"Representative in Congress, District 6",James David Stockton III,DEM,20,0,58,111,65,234,20.56
"Representative in Congress, District 6",James David Stockton III,DEM,21,-,-,-,-,253,24.56
"Representative in Congress, District 6",James David Stockton III,DEM,22,-,-,-,-,376,22.10
"Representative in Congress, District 6",James David Stockton III,DEM,23,0,42,76,42,160,15.24
"Representative in Congress, District 6",James David Stockton III,DEM,24,0,45,89,59,193,11.78
"Representative in Congress, District 6",James David Stockton III,DEM,25,0,70,159,90,319,20.15
"Representative in Congress, District 6",James David Stockton III,DEM,26,-,-,-,-,18,10.06
"Representative in Congress, District 6",James David Stockton III,DEM,27,0,68,201,113,382,35.63
"Representative in Congress, District 6",James David Stockton III,DEM,28,0,49,122,64,235,87.36
"Representative in Congress, District 6",James David Stockton III,DEM,29,-,-,-,-,143,33.65
"Representative in Congress, District 6",James David Stockton III,DEM,03,0,76,111,76,263,20.56
"Representative in Congress, District 6",James David Stockton III,DEM,30,-,-,-,-,42,11.60
"Representative in Congress, District 6",James David Stockton III,DEM,31,-,-,-,-,67,65.69
"Representative in Congress, District 6",James David Stockton III,DEM,32,0,47,141,74,262,42.67
"Representative in Congress, District 6",James David Stockton III,DEM,33,-,-,-,-,516,77.59
"Representative in Congress, District 6",James David Stockton III,DEM,34,0,68,140,130,338,54.25
"Representative in Congress, District 6",James David Stockton III,DEM,35,-,-,-,-,31,19.87
"Representative in Congress, District 6",James David Stockton III,DEM,36,0,44,119,65,228,49.03
"Representative in Congress, District 6",James David Stockton III,DEM,37,0,98,220,134,452,44.23
"Representative in Congress, District 6",James David Stockton III,DEM,04,0,42,52,67,161,30.21
"Representative in Congress, District 6",James David Stockton III,DEM,05,0,39,48,34,121,18.91
"Representative in Congress, District 6",James David Stockton III,DEM,06,-,-,-,-,79,24.76
"Representative in Congress, District 6",James David Stockton III,DEM,07,0,78,109,71,258,20.62
"Representative in Congress, District 6",James David Stockton III,DEM,08,0,78,63,53,194,21.20
"Representative in Congress, District 6",James David Stockton III,DEM,09,0,36,57,59,152,20.57
"Representative in Congress, District 6",Write-in,,01,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,10,-,-,-,-,2,0.09
"Representative in Congress, District 6",Write-in,,11,-,-,-,-,3,0.13
"Representative in Congress, District 6",Write-in,,12,-,-,-,-,3,0.16
"Representative in Congress, District 6",Write-in,,13,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,14,-,-,-,-,1,0.07
"Representative in Congress, District 6",Write-in,,15,-,-,-,-,2,0.10
"Representative in Congress, District 6",Write-in,,16,-,-,-,-,1,0.19
"Representative in Congress, District 6",Write-in,,17,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,18,-,-,-,-,1,0.17
"Representative in Congress, District 6",Write-in,,19,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,02,-,-,-,-,4,0.46
"Representative in Congress, District 6",Write-in,,20,-,-,-,-,1,0.09
"Representative in Congress, District 6",Write-in,,21,-,-,-,-,1,0.10
"Representative in Congress, District 6",Write-in,,22,-,-,-,-,2,0.12
"Representative in Congress, District 6",Write-in,,23,-,-,-,-,2,0.19
"Representative in Congress, District 6",Write-in,,24,-,-,-,-,2,0.12
"Representative in Congress, District 6",Write-in,,25,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,26,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,27,-,-,-,-,1,0.09
"Representative in Congress, District 6",Write-in,,28,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,29,-,-,-,-,2,0.47
"Representative in Congress, District 6",Write-in,,03,-,-,-,-,1,0.08
"Representative in Congress, District 6",Write-in,,30,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,31,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,32,-,-,-,-,1,0.16
"Representative in Congress, District 6",Write-in,,33,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,34,-,-,-,-,1,0.16
"Representative in Congress, District 6",Write-in,,35,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,36,-,-,-,-,1,0.22
"Representative in Congress, District 6",Write-in,,37,-,-,-,-,3,0.29
"Representative in Congress, District 6",Write-in,,04,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,05,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,06,0,0,0,0,0,0.00
"Representative in Congress, District 6",Write-in,,07,-,-,-,-,2,0.16
"Representative in Congress, District 6",Write-in,,08,-,-,-,-,1,0.11
"Representative in Congress, District 6",Write-in,,09,0,0,0,0,0,0.00
